Clip Index,Tag ID,Tag Time,Video Start (s),Clip Duration (s),Eject Time (s),Hold Time (s),Retract Time (s),Detected During Retract,Output File,Status
215,0,2026-04-28 07:31:15,48238.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0215.mp4,Saved
216,0,2026-04-28 07:34:15,48418.5,16.0,1.0,11.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0216.mp4,Saved
217,0,2026-04-28 07:35:45,48508.5,16.0,2.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0217.mp4,Saved
218,0,2026-04-28 07:36:42,48565.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0218.mp4,Saved
219,0,2026-04-28 07:38:11,48654.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0219.mp4,Saved
220,0,2026-04-28 07:39:01,48704.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0220.mp4,Saved
221,0,2026-04-28 07:39:17,48720.5,18.0,3.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0221.mp4,Saved
222,0,2026-04-28 07:40:02,48765.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0222.mp4,Saved
223,0,2026-04-28 07:40:50,48813.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0223.mp4,Saved
224,0,2026-04-28 07:41:14,48837.5,15.0,0.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0224.mp4,Saved
225,0,2026-04-28 07:41:57,48880.5,16.0,2.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0225.mp4,Saved
226,0,2026-04-28 07:42:33,48916.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0226.mp4,Saved
227,0,2026-04-28 07:44:45,49048.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0227.mp4,Saved
228,0,2026-04-28 07:48:33,49276.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0228.mp4,Saved
